date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:26:13	32324/32324	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin/tables.html	C:/Users/GHR/Desktop/vishh/temp8/temp8/coderthemes.com/velonic_3.0/admin/tables.html	(from )
01:26:14	177/177	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Mar%202018%2019:56:06%20GMT	http://coderthemes.com/robots.txt		(from )
01:26:14	5430/5430	---MCZ	200	added ('OK')	image/x-icon	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin/img/favicon_1.ico	C:/Users/GHR/Desktop/vishh/temp8/temp8/coderthemes.com/velonic_3.0/admin/img/favicon_1.ico	(from http://coderthemes.com/velonic_3.0/admin/tables.html)
01:26:15	121260/121260	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin/css/bootstrap.min.css	C:/Users/GHR/Desktop/vishh/temp8/temp8/coderthemes.com/velonic_3.0/admin/css/bootstrap.min.css	(from http://coderthemes.com/velonic_3.0/admin/tables.html)
01:26:15	13516/13516	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin/css/bootstrap-reset.css	C:/Users/GHR/Desktop/vishh/temp8/temp8/coderthemes.com/velonic_3.0/admin/css/bootstrap-reset.css	(from http://coderthemes.com/velonic_3.0/admin/tables.html)
01:26:15	69747/69747	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin/css/animate.css	C:/Users/GHR/Desktop/vishh/temp8/temp8/coderthemes.com/velonic_3.0/admin/css/animate.css	(from http://coderthemes.com/velonic_3.0/admin/tables.html)
01:26:15	28747/28747	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin/assets/font-awesome/css/font-awesome.css	C:/Users/GHR/Desktop/vishh/temp8/temp8/coderthemes.com/velonic_3.0/admin/assets/font-awesome/css/font-awesome.css	(from http://coderthemes.com/velonic_3.0/admin/tables.html)
01:26:16	42998/42998	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin/assets/ionicon/css/ionicons.min.css	C:/Users/GHR/Desktop/vishh/temp8/temp8/coderthemes.com/velonic_3.0/admin/assets/ionicon/css/ionicons.min.css	(from http://coderthemes.com/velonic_3.0/admin/tables.html)
01:26:16	35952/35952	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin/css/style.css	C:/Users/GHR/Desktop/vishh/temp8/temp8/coderthemes.com/velonic_3.0/admin/css/style.css	(from http://coderthemes.com/velonic_3.0/admin/tables.html)
01:26:16	4816/4816	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin/css/helper.css	C:/Users/GHR/Desktop/vishh/temp8/temp8/coderthemes.com/velonic_3.0/admin/css/helper.css	(from http://coderthemes.com/velonic_3.0/admin/tables.html)
01:26:16	1987/1987	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin/css/style-responsive.css	C:/Users/GHR/Desktop/vishh/temp8/temp8/coderthemes.com/velonic_3.0/admin/css/style-responsive.css	(from http://coderthemes.com/velonic_3.0/admin/tables.html)
01:26:17	40632/40632	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin/index.html	C:/Users/GHR/Desktop/vishh/temp8/temp8/coderthemes.com/velonic_3.0/admin/index.html	(from http://coderthemes.com/velonic_3.0/admin/tables.html)
01:26:17	34613/34613	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin/dashboard2.html	C:/Users/GHR/Desktop/vishh/temp8/temp8/coderthemes.com/velonic_3.0/admin/dashboard2.html	(from http://coderthemes.com/velonic_3.0/admin/tables.html)
01:26:18	3481/3481	---M--	200	added ('OK')	image/png	etag:%2259bf7cc5-d99%22	http://coderthemes.com/velonic_3.0/admin/img/single-logo.png	C:/Users/GHR/Desktop/vishh/temp8/temp8/coderthemes.com/velonic_3.0/admin/img/single-logo.png	(from http://coderthemes.com/velonic_3.0/admin/tables.html)
01:26:18	30834/30834	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin/typography.html	C:/Users/GHR/Desktop/vishh/temp8/temp8/coderthemes.com/velonic_3.0/admin/typography.html	(from http://coderthemes.com/velonic_3.0/admin/tables.html)
01:26:18	43407/43407	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin/buttons.html	C:/Users/GHR/Desktop/vishh/temp8/temp8/coderthemes.com/velonic_3.0/admin/buttons.html	(from http://coderthemes.com/velonic_3.0/admin/tables.html)
01:26:19	204951/204951	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin/icons.html	C:/Users/GHR/Desktop/vishh/temp8/temp8/coderthemes.com/velonic_3.0/admin/icons.html	(from http://coderthemes.com/velonic_3.0/admin/tables.html)
01:26:19	23348/23348	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin/panels.html	C:/Users/GHR/Desktop/vishh/temp8/temp8/coderthemes.com/velonic_3.0/admin/panels.html	(from http://coderthemes.com/velonic_3.0/admin/tables.html)
01:26:19	43295/43295	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin/tabs-accordions.html	C:/Users/GHR/Desktop/vishh/temp8/temp8/coderthemes.com/velonic_3.0/admin/tabs-accordions.html	(from http://coderthemes.com/velonic_3.0/admin/tables.html)
01:26:19	75042/75042	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin/modals.html	C:/Users/GHR/Desktop/vishh/temp8/temp8/coderthemes.com/velonic_3.0/admin/modals.html	(from http://coderthemes.com/velonic_3.0/admin/tables.html)
01:26:20	39719/39719	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin/bootstrap-ui.html	C:/Users/GHR/Desktop/vishh/temp8/temp8/coderthemes.com/velonic_3.0/admin/bootstrap-ui.html	(from http://coderthemes.com/velonic_3.0/admin/tables.html)
01:26:20	32319/32319	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin/progressbars.html	C:/Users/GHR/Desktop/vishh/temp8/temp8/coderthemes.com/velonic_3.0/admin/progressbars.html	(from http://coderthemes.com/velonic_3.0/admin/tables.html)
01:26:20	38046/38046	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin/notification.html	C:/Users/GHR/Desktop/vishh/temp8/temp8/coderthemes.com/velonic_3.0/admin/notification.html	(from http://coderthemes.com/velonic_3.0/admin/tables.html)
01:26:20	20215/20215	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin/sweet-alert.html	C:/Users/GHR/Desktop/vishh/temp8/temp8/coderthemes.com/velonic_3.0/admin/sweet-alert.html	(from http://coderthemes.com/velonic_3.0/admin/tables.html)
01:26:20	31861/31861	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin/grid.html	C:/Users/GHR/Desktop/vishh/temp8/temp8/coderthemes.com/velonic_3.0/admin/grid.html	(from http://coderthemes.com/velonic_3.0/admin/tables.html)
01:26:21	30673/30673	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin/portlets.html	C:/Users/GHR/Desktop/vishh/temp8/temp8/coderthemes.com/velonic_3.0/admin/portlets.html	(from http://coderthemes.com/velonic_3.0/admin/tables.html)
01:26:21	44544/44544	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin/widgets.html	C:/Users/GHR/Desktop/vishh/temp8/temp8/coderthemes.com/velonic_3.0/admin/widgets.html	(from http://coderthemes.com/velonic_3.0/admin/tables.html)
01:26:21	27021/27021	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin/nestable-list.html	C:/Users/GHR/Desktop/vishh/temp8/temp8/coderthemes.com/velonic_3.0/admin/nestable-list.html	(from http://coderthemes.com/velonic_3.0/admin/tables.html)
01:26:21	18622/18622	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin/calendar.html	C:/Users/GHR/Desktop/vishh/temp8/temp8/coderthemes.com/velonic_3.0/admin/calendar.html	(from http://coderthemes.com/velonic_3.0/admin/tables.html)
01:26:22	35943/35943	---MC-	200	added ('OK')	text/javascript	date:Mon,%2013%20Nov%202017%2020:19:12%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/GHR/Desktop/vishh/temp8/temp8/www.google-analytics.com/analytics.js	(from http://coderthemes.com/velonic_3.0/admin/tables.html)
01:26:22	57392/57392	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin/form-elements.html	C:/Users/GHR/Desktop/vishh/temp8/temp8/coderthemes.com/velonic_3.0/admin/form-elements.html	(from http://coderthemes.com/velonic_3.0/admin/tables.html)
01:26:22	25584/25584	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin/form-validation.html	C:/Users/GHR/Desktop/vishh/temp8/temp8/coderthemes.com/velonic_3.0/admin/form-validation.html	(from http://coderthemes.com/velonic_3.0/admin/tables.html)
01:26:22	124545/124545	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin/form-advanced.html	C:/Users/GHR/Desktop/vishh/temp8/temp8/coderthemes.com/velonic_3.0/admin/form-advanced.html	(from http://coderthemes.com/velonic_3.0/admin/tables.html)
01:26:23	37512/37512	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin/form-wizard.html	C:/Users/GHR/Desktop/vishh/temp8/temp8/coderthemes.com/velonic_3.0/admin/form-wizard.html	(from http://coderthemes.com/velonic_3.0/admin/tables.html)
01:26:23	19083/19083	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin/form-editor.html	C:/Users/GHR/Desktop/vishh/temp8/temp8/coderthemes.com/velonic_3.0/admin/form-editor.html	(from http://coderthemes.com/velonic_3.0/admin/tables.html)
